org_name,org_code,division,district,upazila,agency,org_type,org_func,org_lvl,lat,lon
Bhuapur Upazila Health Complex,10000586,Dhaka,Tangail,Bhuapur,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.4629235,89.8746932
Boalmari Upazila Health Complex,10000095,Dhaka,Faridpur,Boalmari,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.3916388,89.68525749999999
Charbhadrason Upazila Health Complex,10000098,Dhaka,Faridpur,Char Bhadrasan,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.563364,90.0004371
Damudya Upazila Health Complex,10000544,Dhaka,Shariatpur,Damudya,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.1379536,90.44286699999999
Daulatpur Upazila Health Complex,10000277,Dhaka,Manikganj,Daulatpur,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.9663768,89.82928489999999
Delduar Upazila Health Complex,10000591,Dhaka,Tangail,Delduar,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.1641829,89.96865939999999
Dhaka Medical College Hospital,10000033,Dhaka,Dhaka,Shahbagh,DGHS,Medical College Hospital,Hospital/Clinic,Regional,23.7256553,90.3970882
Dhamrai Upazila Health Complex,10000064,Dhaka,Dhaka,Dhamrai,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.9135162,90.2275441
Dhanbari Upazila Health Complex,10000595,Dhaka,Tangail,Dhanbari,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.6898613,89.9542883
Dohar Upazila Health Complex,10000069,Dhaka,Dhaka,Dohar,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.6157665,90.12273909999999
Faridpur General Hospital,10000105,Dhaka,Faridpur,Faridpur Sadar,DGHS,General Hospital (not district hospital),Hospital/Clinic,District,23.6049185,89.83647409999999
Faridpur Medical College Hospital,10000108,Dhaka,Faridpur,Faridpur Sadar,DGHS,Medical College Hospital,Hospital/Clinic,Regional,23.5880489,89.8352342
Gazaria Upazila Health Complex,10000317,Dhaka,Munshiganj,Gazaria,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.5529662,90.65290999999999
Ghatail Upazila Health Complex,10000601,Dhaka,Tangail,Ghatail,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.4843994,89.97355449999999
Ghior Upazila Health Complex,10000281,Dhaka,Manikganj,Ghior,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.891514,89.87653
Goalanda Upazila Health Complex,10000508,Dhaka,Rajbari,Goalanda,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.723911,89.7469229
